horizon_days,draw,winner_3_replications,winner_target_replications,winner_stable,full_ranking_stable
120,41,current_eu_supervision,current_eu_supervision,True,True
120,42,current_eu_supervision,current_eu_supervision,True,True
120,69,sme_algorithmic_prescreening,sme_algorithmic_prescreening,True,True
120,71,current_eu_supervision,current_eu_supervision,True,True
120,75,current_eu_supervision,current_eu_supervision,True,True
120,104,current_eu_supervision,current_eu_supervision,True,True
120,109,certified_green_data_connector,sme_algorithmic_prescreening,False,False
120,136,current_eu_supervision,current_eu_supervision,True,True
120,144,current_eu_supervision,current_eu_supervision,True,True
120,147,current_eu_supervision,sme_algorithmic_prescreening,False,False
120,180,sme_algorithmic_prescreening,sme_algorithmic_prescreening,True,True
120,187,current_eu_supervision,sme_algorithmic_prescreening,False,False
365,41,current_eu_supervision,current_eu_supervision,True,True
365,42,current_eu_supervision,current_eu_supervision,True,True
365,69,sme_algorithmic_prescreening,sme_algorithmic_prescreening,True,True
365,71,current_eu_supervision,current_eu_supervision,True,True
365,75,current_eu_supervision,current_eu_supervision,True,True
365,104,current_eu_supervision,current_eu_supervision,True,True
365,109,certified_green_data_connector,sme_algorithmic_prescreening,False,False
365,136,current_eu_supervision,current_eu_supervision,True,True
365,144,current_eu_supervision,sme_algorithmic_prescreening,False,False
365,147,sme_algorithmic_prescreening,sme_algorithmic_prescreening,True,True
365,180,current_eu_supervision,current_eu_supervision,True,True
365,187,sme_algorithmic_prescreening,current_eu_supervision,False,False
1000,41,certified_green_data_connector,current_eu_supervision,False,False
1000,42,certified_green_data_connector,certified_green_data_connector,True,True
1000,69,sme_algorithmic_prescreening,certified_green_data_connector,False,False
1000,71,current_eu_supervision,current_eu_supervision,True,True
1000,75,current_eu_supervision,current_eu_supervision,True,True
1000,104,current_eu_supervision,current_eu_supervision,True,True
1000,109,certified_green_data_connector,certified_green_data_connector,True,False
1000,136,current_eu_supervision,current_eu_supervision,True,True
1000,144,sme_algorithmic_prescreening,certified_green_data_connector,False,False
1000,147,sme_algorithmic_prescreening,sme_algorithmic_prescreening,True,True
1000,180,current_eu_supervision,current_eu_supervision,True,False
1000,187,sme_algorithmic_prescreening,current_eu_supervision,False,False
2000,41,current_eu_supervision,current_eu_supervision,True,True
2000,42,certified_green_data_connector,certified_green_data_connector,True,True
2000,69,sme_algorithmic_prescreening,certified_green_data_connector,False,False
2000,71,current_eu_supervision,certified_green_data_connector,False,False
2000,75,certified_green_data_connector,current_eu_supervision,False,False
2000,104,current_eu_supervision,current_eu_supervision,True,True
2000,109,certified_green_data_connector,certified_green_data_connector,True,True
2000,136,certified_green_data_connector,current_eu_supervision,False,False
2000,144,certified_green_data_connector,current_eu_supervision,False,False
2000,147,current_eu_supervision,current_eu_supervision,True,True
2000,180,current_eu_supervision,certified_green_data_connector,False,False
2000,187,certified_green_data_connector,certified_green_data_connector,True,False
